"Four-Year Graduation Rates, Trend"
"New Haven School District, Race/Ethnicity"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","District Code","Race/Ethnicity","2011-12","2012-13","2013-14","2014-15","2015-16"
"New Haven School District","=""0930011""","Asian","*","*","*","*","*"
"New Haven School District","=""0930011""","Black",70.1,72.0,76.3,76.9,79.0
"New Haven School District","=""0930011""","Hispanic",64.3,62.4,68.7,66.1,72.2
"New Haven School District","=""0930011""","Indian or Alaska Native","*","*","*","N/A","*"
"New Haven School District","=""0930011""","Two or More Races","*","*","*","*","*"
"New Haven School District","=""0930011""","White",85.6,83.1,85.1,85.6,83.8
"New Haven School District","=""0930011""","Hawaiian or Pacific Islander","N/A","N/A","N/A","N/A","*"

