"Four-Year Graduation Rates, Trend"
"State of Connecticut, Race/Ethnicity"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","Race/Ethnicity","2011-12","2012-13","2013-14","2014-15","2015-16"
"State of Connecticut","Asian",91.9,93.2,93.5,94.8,94.6
"State of Connecticut","Black",73.0,75.7,78.6,78.1,78.8
"State of Connecticut","Hawaiian or Pacific Islander","*",89.0,75.0,72.0,83.8
"State of Connecticut","Hispanic",68.6,70.2,74.0,74.8,76.4
"State of Connecticut","Indian or Alaska Native","*",81.8,84.7,87.1,89.0
"State of Connecticut","Two or More Races",83.4,82.3,83.5,86.7,87.7
"State of Connecticut","White",91.3,91.4,92.2,92.7,92.5

